NAME OF THE AIRLINE ,APRIL PASSENGERS TO INDIA,APRIL PASSENGERS FROM INDIA,APRIL FREIGHT TO INDIA,APRIL FREIGHT FROM INDIA,MAY PASSENGERS TO INDIA,MAY PASSENGERS FROM INDIA,MAY FREIGHT TO INDIA,MAY FREIGHT FROM INDIA,JUNE PASSENGERS TO INDIA,JUNE PASSENGERS FROM INDIA,JUNE FREIGHT TO INDIA,JUNE FREIGHT FROM INDIA
AEROFLOT,1528.0,2311.0,35.801,73.298,894.0,2305.0,76.271,126.374,1608.0,2272.0,12.415,95.324
AEROLOGIC,0.0,0.0,7243.227,7587.562,0.0,0.0,7223.138,7238.159,0.0,0.0,7099.84,7363.778
AIR ARABIA,67060.0,65619.0,143.916,1185.777,25853.0,2259.0,57.83,997.999,21198.0,7.0,71.395,1029.678
AIR ASIA X,0.0,0.0,123.399,94.771,0.0,0.0,115.396,146.748,0.0,0.0,116.874,52.425
AIR ASTANA,0.0,0.0,0.0,31.228,,,0.0,0.0,,,0.0,0.0
AIR CANADA,3574.0,7806.0,85.535,138.909,,,0.0,0.0,,,0.0,0.0
AIR FRANCE,4766.0,9535.0,703.771,732.59,1348.0,10039.0,706.295,984.858,2594.0,8692.0,712.626,960.521
AIR MAURITIUS,368.0,303.0,4.985,157.281,20.0,31.0,1.074,189.448,105.0,214.0,1.413,271.573
AIR SEYCHELLES,148.0,348.0,0.056,0.524,,,0.0,0.0,,,0.0,0.0
ALL NIPPON AIRWAYS,349.0,640.0,577.52,375.837,54.0,874.0,320.033,295.164,133.0,239.0,184.737,108.635
ARIANA AFGHAN,778.0,1485.0,81.316,75.511,475.0,1417.0,77.186,89.865,583.0,990.0,77.891,69.145
BIMAN BANGLADESH,168.0,295.0,0.023,0.309,0.0,0.0,185.155,7.516,,,0.0,0.0
BRITISH AIRWAYS,5679.0,9628.0,643.28,821.58,1823.0,5265.0,630.01,971.93,2858.0,3313.0,462.96,978.95
CATHAY PACIFIC,0.0,0.0,3214.9906,1598.79,0.0,0.0,6238.706899999999,2651.40075,0.0,0.0,23723.9224,3730.4484899999998
CHINA AIRLINES LTD,0.0,0.0,503.767,579.746,0.0,0.0,60.907,68.613,,,0.0,0.0
DRUK AIR,142.0,135.0,0.0,0.9625,0.0,35.0,0.0,0.1751,17.0,30.0,0.0,0.204
EGYPT AIR,0.0,,180.484,340.126,0.0,,190.783,448.123,0.0,,209.584,384.715
EL-AL-ISRAEL,,,0.0,0.0,0.0,158.0,10.69,6.552,0.0,112.0,1.13,6.645
EMIRATES AIRLINE,62559.0,52981.0,5929.385470000001,8686.60259,36439.0,0.0,5421.733200999999,9182.269709,40401.0,613.0,3890.227952,8055.156666999999
ETHIOPIAN AIRLINES,589.0,666.0,10.091,24.053,719.0,1075.0,14.7,47.541,868.0,845.0,9.464,20.453
ETIHAD AIRLINES,17542.0,10213.0,1205.89,2661.745,10517.0,228.0,1324.423,2721.64,12142.0,391.0,1122.996,2200.608
FEDERAL EXPRESS,0.0,0.0,1500.092,3512.716,0.0,0.0,2143.15,3257.372,0.0,0.0,1584.02,3464.877
FLY DUBAI,42369.0,46099.0,56.206,668.096,9257.0,2.0,21.418,348.347,3742.0,0.0,8.035,177.091
GULF AIR,2753.0,3714.0,24.43,152.682,1876.0,3982.0,47.471,122.382,2048.0,3710.0,23.155,81.674
IRAN AIR,43.0,91.0,0.689,2.08,0.0,0.0,78.015,16.24,39.0,95.0,0.0,32.295
IRAQI AIRWAYS,1115.0,1243.0,0.0,0.0,1.0,1651.0,0.0,0.0,0.0,130.0,0.0,0.0
ISLAND AVIATION SERVICES,788.0,1066.0,0.156,50.423,662.0,695.0,0.09,46.629,2528.0,759.0,0.64,62.886
JAPAN AIRLINES,416.0,1487.0,530.026,280.1,69.0,1438.0,388.044,173.081,173.0,308.0,178.935,144.854
JAZEERA AIRWAYS,1649.0,7905.0,12.054,324.201,1496.0,170.0,38.893,108.09,4694.0,0.0,33.321,252.401
KAM AIR,2262.0,4091.0,0.0,196.304,503.0,916.0,0.0,118.124,842.0,590.0,0.0,96.881
KENYA AIRWAYS,1048.0,1652.0,0.366,0.125,113.0,193.0,0.0,14.516,42.0,382.0,0.0,25.012
KLM AIRLINES,3469.0,6589.0,646.419,857.275,1642.0,5383.0,735.925,846.327,3454.0,7455.0,585.582,762.248
KOREAN AIR,53.0,141.0,272.35,124.7595,0.0,272.0,316.441,158.2391,97.0,110.0,284.799,262.0312
KUWAIT AIRWAYS,2801.0,0.0,0.0,1327.732,511.0,0.0,0.0,130.799,2931.0,0.0,0.0,973.502
LOT POLISH,0.0,0.0,212.408,397.742,0.0,0.0,183.538,388.482,0.0,0.0,211.681,431.989
LUFTHANSA,5174.0,10050.0,1566.062,811.403,1066.0,3337.0,1730.989,923.377,2677.0,7740.0,1584.425,631.658
MAHAN AIR,385.0,292.0,11.157,16.886,15.0,104.0,53.809,19.955,0.0,0.0,0.0,0.0
MALAYSIA AIRLINES,0.0,0.0,1787.861,661.839,0.0,0.0,1600.731,683.853,0.0,0.0,1208.912,829.336
MALINDO AIRWAYS,0.0,0.0,0.0,0.0,166.0,45.0,4.4,0.0,91.0,42.0,0.0,4.0
OMAN AIR,8695.0,10728.0,163.1368,494.8135,4796.0,4650.0,174.8616,603.2834,4667.0,2546.0,196.3174,623.2565
QATAR AIRWAYS,30452.0,32134.0,9198.425449999999,11388.423030000002,22493.0,34864.0,8628.88095,10404.705539999999,31208.0,36331.0,8145.305679999999,9800.525870000001
SRILANKAN AIRWAYS,796.0,840.0,651.75,538.801,252.0,18.0,558.643,360.175,176.0,46.0,639.105,456.737
SWISS AIR,0.0,0.0,308.452,414.788,0.0,0.0,267.401,489.89,0.0,0.0,259.473,446.653
THAI AIRWAYS,20.0,0.0,413.407,149.872,0.0,0.0,534.644,225.471,56.0,159.0,421.42,362.249
THAI SMILE AIRWAYS,0.0,0.0,0.0,0.0,27.0,74.0,0.0,0.0,0.0,39.0,0.0,0.0
TURKISH AIRLINES,0.0,0.0,3183.162,2566.4415,0.0,0.0,3687.8407800000004,3567.373,0.0,0.0,3521.648,4259.141
TURKMENISTAN AIRLINES,0.0,0.0,0.0,41.0,0.0,0.0,0.0,1020.948,0.0,0.0,0.0,84.944
UNITED AIRLINES,19066.0,30350.0,548.6539500000001,957.0989400000001,2944.0,4168.0,273.829,451.94,12727.0,12217.0,715.9706900000001,1644.8557000000003
US BANGLA AIRLINES,857.0,982.0,0.14,7.909,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
UZBEKISTAN AIRWAYS,1130.0,1279.0,4.257,3.074,403.0,797.0,38.393,28.516,872.0,1439.0,23.217,46.239
VIRGIN ATLANTIC AIRLINES,1194.0,4556.0,502.558,878.578,60.0,2756.0,613.774,874.021,50.0,1572.0,632.624,1018.541
YEMENIA AIRWAYS,386.0,546.0,0.0,4.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
